INDEX,DATE,TIME,SECONDS_SINCE_MIDNIGHT,TRIP_ID,DIR,SPEED,LAT,LONG,ALT,EXITS,ENTRANCES
2909,10/25/2010,11:24:13,41053,6,N,21.585541,41.394209,-73.959141,24.445625,0,0
2910,10/25/2010,11:24:18,41058,6,N,28.128418,41.394555,-73.959042,26.150196,0,0
2911,10/25/2010,11:24:23,41063,6,N,28.618622,41.394771,-73.959397,23.095472,0,0
2912,10/25/2010,11:24:28,41068,6,N,27.591877,41.394821,-73.959901,19.287575,0,0
2913,10/25/2010,11:24:33,41073,6,N,27.14356,41.394862,-73.960363,16.588736,0,0
2914,10/25/2010,11:24:38,41078,6,N,19.567078,41.39491,-73.960751,13.244372,0,0
2915,10/25/2010,11:24:43,41083,6,N,10.121037,41.394965,-73.960965,10.55421,0,0
2916,10/25/2010,11:24:48,41088,6,N,9.135241,41.39501,-73.961105,10.075328,0,0
2917,10/25/2010,11:24:53,41093,6,N,15.248717,41.39507,-73.961297,9.252059,0,0
2918,10/25/2010,11:24:57,41097,6,N,37.085228,41.395219,-73.961734,6.859352,0,0
2919,10/25/2010,11:25:03,41103,6,N,20.766346,41.395338,-73.962233,3.42199,0,0
2920,10/25/2010,11:25:08,41108,6,N,19.410585,41.395477,-73.962504,2.414064,0,0
2921,10/25/2010,11:25:12,41112,6,N,27.678881,41.3955,-73.962842,2.192073,0,0
2922,10/25/2010,11:25:18,41118,6,N,38.54562,41.395507,-73.963421,5.294339,0,0
2923,10/25/2010,11:25:23,41123,6,N,42.536633,41.395569,-73.964116,7.658646,0,0
2924,10/25/2010,11:25:28,41128,6,N,42.454769,41.395683,-73.964795,8.573321,0,0
2925,10/25/2010,11:25:33,41133,6,N,42.502197,41.39588,-73.965459,11.954786,0,0
2926,10/25/2010,11:25:38,41138,6,N,42.75819,41.396315,-73.965874,16.901777,0,0
2927,10/25/2010,11:25:43,41143,6,N,36.737637,41.396793,-73.966182,22.611734,0,0
2928,10/25/2010,11:25:48,41148,6,N,17.407343,41.397069,-73.966485,28.935154,0,0
2929,10/25/2010,11:25:53,41153,6,N,14.587109,41.397116,-73.96662,30.745766,0,0
2930,10/25/2010,11:25:58,41158,6,N,36.046787,41.397265,-73.966998,29.625784,0,0
2931,10/25/2010,11:26:03,41163,6,N,45.25993,41.397664,-73.967439,29.908268,0,0
2932,10/25/2010,11:26:08,41168,6,N,41.779842,41.398071,-73.967909,29.509863,0,0
2933,10/25/2010,11:26:13,41173,6,N,41.330868,41.398468,-73.968339,29.753365,0,0
2934,10/25/2010,11:26:18,41178,6,N,36.779247,41.398705,-73.968906,30.444679,0,0
2935,10/25/2010,11:26:23,41183,6,N,21.4196,41.398887,-73.969327,31.080751,0,0
2936,10/25/2010,11:26:28,41188,6,N,25.925097,41.399107,-73.969308,33.761459,0,0
2937,10/25/2010,11:26:33,41193,6,N,25.551664,41.399403,-73.969066,31.829824,0,0
2938,10/25/2010,11:26:38,41198,6,N,23.722094,41.399656,-73.968812,31.368979,0,0
2939,10/25/2010,11:26:42,41202,6,N,28.774773,41.399837,-73.968404,30.770161,0,0
2940,10/25/2010,11:26:48,41208,6,N,26.602461,41.40005,-73.968088,29.865768,0,0
2941,10/25/2010,11:26:53,41213,6,N,26.546675,41.400362,-73.968232,28.277246,0,0
2942,10/25/2010,11:26:57,41217,6,N,20.868752,41.400613,-73.968448,26.809229,0,0
2943,10/25/2010,11:27:03,41223,6,N,18.505135,41.400582,-73.968782,28.446795,0,0
2944,10/25/2010,11:27:08,41228,6,N,18.664001,41.400485,-73.969053,29.710382,0,0
2945,10/25/2010,11:27:13,41233,6,N,17.797657,41.400361,-73.969378,29.130058,0,0
2946,10/25/2010,11:27:18,41238,6,N,13.392663,41.400271,-73.969479,27.912125,0,0
2947,10/25/2010,11:27:23,41243,6,N,12.064517,41.40011,-73.969492,27.98382,0,0
2948,10/25/2010,11:27:28,41248,6,N,15.774324,41.400022,-73.969647,28.038082,0,0
2949,10/25/2010,11:27:33,41253,6,N,29.432919,41.400219,-73.969947,31.293709,0,0
2950,10/25/2010,11:27:38,41258,6,N,33.452843,41.400531,-73.970311,34.788616,0,0
2951,10/25/2010,11:27:43,41263,6,N,26.408833,41.400713,-73.970786,37.828873,0,0
2952,10/25/2010,11:27:48,41268,6,N,6.078556,41.400761,-73.970983,39.364773,0,0
2953,10/25/2010,11:27:53,41273,6,N,25.854965,41.400895,-73.971193,40.380211,0,0
2954,10/25/2010,11:27:58,41278,6,N,34.826546,41.401122,-73.971627,41.881138,0,0
2955,10/25/2010,11:28:03,41283,6,N,35.638859,41.401228,-73.972223,42.687008,0,0
2956,10/25/2010,11:28:08,41288,6,N,32.808262,41.401121,-73.972777,45.082947,0,0
2957,10/25/2010,11:28:13,41293,6,N,32.291664,41.400985,-73.973263,46.911736,0,0
2958,10/25/2010,11:28:18,41298,6,N,35.212944,41.40094,-73.973868,48.641502,0,0
2959,10/25/2010,11:28:23,41303,6,N,36.105274,41.400935,-73.974465,50.792759,0,0
2960,10/25/2010,11:28:28,41308,6,N,34.622692,41.400799,-73.975012,52.126434,0,0
2961,10/25/2010,11:28:33,41313,6,N,34.817566,41.400627,-73.975553,54.631256,0,0
2962,10/25/2010,11:28:38,41318,6,N,32.373856,41.400567,-73.976076,56.598877,0,0
2963,10/25/2010,11:28:42,41322,6,N,26.286898,41.400626,-73.976577,58.613625,0,0
2964,10/25/2010,11:28:48,41328,6,N,17.99873,41.400842,-73.976786,60.592804,0,0
2965,10/25/2010,11:28:53,41333,6,N,27.738329,41.401186,-73.976797,62.383812,0,0
2966,10/25/2010,11:28:57,41337,6,N,17.433723,41.401478,-73.976777,62.123951,0,0
2967,10/25/2010,11:29:03,41343,6,N,10.08832,41.401617,-73.976869,63.576389,0,0
2968,10/25/2010,11:29:08,41348,6,N,2.975089,41.401597,-73.976973,63.679596,0,0
2969,10/25/2010,11:29:13,41353,6,N,13.640748,41.401493,-73.977014,62.974083,0,0
2970,10/25/2010,11:29:18,41358,6,N,11.904158,41.401371,-73.976881,62.344162,0,0
2971,10/25/2010,11:29:23,41363,6,N,25.135635,41.401189,-73.976755,60.865074,0,0
2972,10/25/2010,11:29:28,41368,6,N,18.104216,41.400896,-73.976777,59.26189,0,0
2973,10/25/2010,11:29:33,41373,6,N,8.065891,41.400794,-73.97681,58.897575,0,0
2974,10/25/2010,11:29:38,41378,6,N,25.739397,41.400776,-73.977114,59.104618,0,0
2975,10/25/2010,11:29:43,41383,6,N,37.094967,41.400838,-73.977654,60.356548,0,0
2976,10/25/2010,11:29:48,41388,6,N,40.025314,41.400771,-73.978307,63.887417,0,0
2977,10/25/2010,11:29:53,41393,6,N,37.099663,41.400647,-73.978924,66.295448,0,0
2978,10/25/2010,11:29:58,41398,6,N,37.893055,41.400457,-73.97947,67.4002,0,0
2979,10/25/2010,11:30:03,41403,6,N,43.873329,41.400079,-73.979942,69.127548,0,0
2980,10/25/2010,11:30:08,41408,6,N,36.955746,41.39966,-73.980392,70.786186,0,0
2981,10/25/2010,11:30:13,41413,6,N,27.720901,41.399392,-73.980767,72.533562,0,0
2982,10/25/2010,11:30:18,41418,6,N,34.370144,41.399224,-73.981184,75.008896,0,0
2983,10/25/2010,11:30:23,41423,6,N,30.2505,41.399101,-73.981728,77.561508,0,0
2984,10/25/2010,11:30:27,41427,6,N,1.970888,41.399017,-73.98201,79.433762,0,0
2985,10/25/2010,11:30:33,41433,6,N,30.987133,41.398984,-73.982151,80.829292,0,0
2986,10/25/2010,11:30:38,41438,6,N,40.649044,41.398676,-73.982612,83.510094,0,0
2987,10/25/2010,11:30:42,41442,6,N,52.314976,41.398185,-73.98315,85.974098,0,0
2988,10/25/2010,11:30:48,41448,6,N,56.436298,41.39766,-73.983774,89.289894,0,0
2989,10/25/2010,11:30:53,41453,6,N,59.862675,41.397125,-73.984471,95.199585,0,0
2990,10/25/2010,11:30:58,41458,6,N,62.74239,41.396659,-73.985227,101.718903,0,0
2991,10/25/2010,11:31:03,41463,6,N,63.950302,41.396146,-73.986047,106.503311,0,0
2992,10/25/2010,11:31:08,41468,6,N,67.157257,41.395533,-73.986833,112.589455,0,0
2993,10/25/2010,11:31:13,41473,6,N,68.611816,41.394841,-73.987574,117.193764,0,0
2994,10/25/2010,11:31:18,41478,6,N,69.71843,41.394145,-73.988295,121.663605,0,0
2995,10/25/2010,11:31:23,41483,6,N,71.787735,41.393417,-73.98898,125.995262,0,0
2996,10/25/2010,11:31:28,41488,6,N,73.501434,41.392627,-73.989639,132.019852,0,0
2997,10/25/2010,11:31:33,41493,6,N,74.656563,41.391818,-73.990274,138.494339,0,0
2998,10/25/2010,11:31:38,41498,6,N,76.620262,41.391046,-73.991012,147.072662,0,0
2999,10/25/2010,11:31:43,41503,6,N,75.003716,41.390476,-73.992003,154.910431,0,0
3000,10/25/2010,11:31:48,41508,6,N,74.378899,41.390198,-73.993198,159.930847,0,0
3001,10/25/2010,11:31:53,41513,6,N,74.547585,41.390097,-73.994438,162.726196,0,0
3002,10/25/2010,11:31:58,41518,6,N,67.896034,41.389911,-73.995591,164.37326,0,0
3003,10/25/2010,11:32:03,41523,6,N,61.804012,41.389374,-73.996361,166.832718,0,0
3004,10/25/2010,11:32:08,41528,6,N,60.085587,41.388598,-73.99662,166.870605,0,0
3005,10/25/2010,11:32:13,41533,6,N,55.838486,41.38787,-73.99671,165.099533,0,0
3006,10/25/2010,11:32:18,41538,6,N,39.802326,41.387262,-73.997031,163.399002,0,0
3007,10/25/2010,11:32:23,41543,6,N,38.484943,41.386846,-73.997474,162.621567,0,0
3008,10/25/2010,11:32:27,41547,6,N,22.608078,41.386449,-73.997607,163.871338,0,0
3009,10/25/2010,11:32:33,41553,6,N,1.466068,41.386345,-73.997527,159.727097,0,0
3010,10/25/2010,11:32:38,41558,6,N,30.773788,41.386199,-73.997354,159.05014,0,0
3011,10/25/2010,11:32:43,41563,6,N,43.890831,41.385993,-73.996734,158.381882,0,0
3012,10/25/2010,11:32:48,41568,6,N,31.980036,41.385918,-73.996114,155.531769,0,0
3013,10/25/2010,11:32:53,41573,6,N,8.489084,41.386022,-73.995805,155.31546,0,0
3014,10/25/2010,11:32:58,41578,6,N,1.46324,41.386015,-73.995751,154.615723,0,0
3015,10/25/2010,11:33:03,41583,6,N,27.736528,41.385974,-73.995523,154.720108,0,0
3016,10/25/2010,11:33:08,41588,6,N,52.974583,41.385659,-73.994971,155.485718,0,0
3017,10/25/2010,11:33:13,41593,6,N,63.56852,41.385211,-73.994185,155.893707,0,0
3018,10/25/2010,11:33:18,41598,6,N,72.183846,41.384701,-73.99327,155.141739,0,0
3019,10/25/2010,11:33:23,41603,6,N,75.452148,41.384146,-73.992265,155.532883,0,0
3020,10/25/2010,11:33:28,41608,6,N,76.574715,41.383487,-73.9913,157.033234,0,0
3021,10/25/2010,11:33:33,41613,6,N,79.234161,41.382712,-73.990528,156.009888,0,0
3022,10/25/2010,11:33:38,41618,6,N,78.994484,41.381835,-73.989908,154.088943,0,0
3023,10/25/2010,11:33:43,41623,6,N,80.594551,41.380958,-73.989238,152.34433,0,0
3024,10/25/2010,11:33:48,41628,6,N,80.03933,41.380195,-73.988371,150.495529,0,0
3025,10/25/2010,11:33:53,41633,6,N,78.466064,41.379571,-73.987342,149.099762,0,0
3026,10/25/2010,11:33:58,41638,6,N,77.951767,41.378951,-73.986348,146.008163,0,0
3027,10/25/2010,11:34:03,41643,6,N,78.597488,41.378296,-73.985394,142.511597,1,1
